host,timestamp,size_mb,size_bytes,h2d_pageable_gbps,h2d_pinned_gbps,d2h_pageable_gbps,d2h_pinned_gbps
lunaris,20260525_230617,1,1048576,11.58,21.19,9.59,21.92
lunaris,20260525_230617,2,2097152,5.44,23.95,5.42,24.60
lunaris,20260525_230617,4,4194304,7.49,25.86,8.00,26.69
lunaris,20260525_230617,8,8388608,8.56,26.98,8.74,27.84
lunaris,20260525_230617,16,16777216,10.78,27.32,11.16,28.22
lunaris,20260525_230617,24,25165824,11.79,27.44,12.01,28.33
lunaris,20260525_230617,32,33554432,12.95,27.48,13.20,28.39
lunaris,20260525_230617,48,50331648,11.70,27.06,12.03,28.45
lunaris,20260525_230617,64,67108864,12.90,27.58,13.21,28.47
lunaris,20260525_230617,96,100663296,12.36,27.07,12.47,28.52
lunaris,20260525_230617,128,134217728,12.35,27.08,12.42,28.54
lunaris,20260525_230617,192,201326592,13.05,27.63,13.26,28.14
lunaris,20260525_230617,256,268435456,12.30,27.21,12.39,28.15
lunaris,20260525_230617,384,402653184,13.58,27.65,13.78,28.16
lunaris,20260525_230617,512,536870912,13.06,27.21,13.10,28.16
lunaris,20260525_230617,1024,1073741824,13.42,27.07,13.54,28.17
