Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
zfp_reversible,medium_TTI_100.bin,104857600,100.00,0,0.97,50.80,48.18,2.055,2.166,25.160,0.000,27.215,2.054541,4.0032,2.6103,0.1987,0.1350,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260518_014141
zfp_reversible,medium_zeros_100.bin,104857600,100.00,0,42.02,324.99,109.73,0.321,0.951,25.937,0.000,26.258,0.321135,31.2830,43.0629,0.0340,0.3309,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260518_014141
zfp_reversible,medium_random_100.bin,104857600,100.00,0,0.97,43.15,43.44,2.418,2.403,24.042,0.000,26.460,2.418484,2.2348,1.0610,0.1414,0.0617,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260518_014141
zfp_reversible,medium_binary_100.bin,104857600,100.00,0,1.50,47.63,62.11,2.191,1.680,24.062,0.000,26.253,2.191218,3.9947,4.3713,0.2315,0.1421,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260518_014141
zfp_reversible,large_TTI_1024.bin,719323136,686.00,0,0.94,59.47,66.75,12.095,10.777,75.347,0.000,87.442,12.095038,0.5670,0.6680,0.1138,0.1076,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260518_014141
zfp_reversible,large_zeros_1024.bin,1073741824,1024.00,0,42.67,466.26,450.69,2.303,2.382,100.013,0.000,102.316,2.302868,7.9067,87.9755,0.0393,0.6358,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260518_014141
zfp_reversible,large_random_1024.bin,1073741824,1024.00,0,0.98,47.75,54.24,22.487,19.797,103.223,0.000,125.711,22.487414,0.3960,0.4654,0.1879,0.1682,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260518_014141
zfp_reversible,large_binary_1024.bin,1073741824,1024.00,0,1.53,53.94,88.08,19.906,12.190,99.606,0.000,119.512,19.906017,0.4197,1.4229,0.1545,0.1980,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260518_014141
zfp_reversible,small_TTI_10.bin,10485760,10.00,0,1.50,22.89,9.56,0.458,1.097,15.979,0.000,16.437,0.458116,1.6681,1.5222,0.0311,0.1673,lunaris,RX7900XT,gfx1100,RX7900XT,5,2,20260518_014141
zfp_reversible,small_zeros_10.bin,10485760,10.00,0,42.66,108.12,10.34,0.097,1.014,14.641,0.000,14.738,0.096986,0.6552,0.8190,0.0006,0.0900,lunaris,RX7900XT,gfx1100,RX7900XT,5,2,20260518_014141
zfp_reversible,small_random_10.bin,10485760,10.00,0,0.98,17.38,8.30,0.603,1.263,16.480,0.000,17.083,0.603372,5.2207,3.1647,0.1267,0.4017,lunaris,RX7900XT,gfx1100,RX7900XT,5,2,20260518_014141
zfp_reversible,small_binary_10.bin,10485760,10.00,0,1.53,17.60,9.60,0.596,1.093,16.590,0.000,17.186,0.595744,3.3228,3.3489,0.0881,0.2724,lunaris,RX7900XT,gfx1100,RX7900XT,5,2,20260518_014141
