Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,Platform,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,7.36,133.74,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,22.14,200.61,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,7.28,176.42,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,162.47,241.40,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,6.03,93.03,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,15.97,205.09,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,5.67,171.29,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,102.91,398.18,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,1.60,13.20,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,2.15,40.06,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,small_random_10.bin,10485760,10.00,65536,1.00,1.89,43.04,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,27.57,70.18,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,7.42,190.13,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.26,22.30,245.10,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,7.19,207.43,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
lz4,xlarge_zeros_4096.bin,4294967296,4096.00,65536,245.45,166.33,304.67,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,large_TTI_1024.bin,719323136,686.00,65536,1.03,26.07,75.76,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,large_binary_1024.bin,1073741824,1024.00,65536,2.95,27.93,73.54,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,large_random_1024.bin,1073741824,1024.00,65536,0.99,27.09,73.89,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,large_zeros_1024.bin,1073741824,1024.00,65536,21.30,28.80,59.89,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,medium_TTI_100.bin,104857600,100.00,65536,1.05,24.09,105.97,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,medium_binary_100.bin,104857600,100.00,65536,2.96,25.18,124.18,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,medium_random_100.bin,104857600,100.00,65536,0.99,24.77,119.07,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,medium_zeros_100.bin,104857600,100.00,65536,21.30,25.76,93.28,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,small_TTI_10.bin,10485760,10.00,65536,1.60,9.47,23.37,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,small_binary_10.bin,10485760,10.00,65536,2.96,9.92,29.11,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,small_random_10.bin,10485760,10.00,65536,0.99,9.73,38.11,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,small_zeros_10.bin,10485760,10.00,65536,21.30,9.87,24.89,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.03,26.79,98.64,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,xlarge_binary_4096.bin,4294967296,4096.00,65536,2.96,28.38,110.14,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,xlarge_random_4096.bin,4294967296,4096.00,65536,0.99,27.57,106.34,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
snappy,xlarge_zeros_4096.bin,4294967296,4096.00,65536,21.30,29.13,85.66,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,large_TTI_1024.bin,719323136,686.00,65536,1.03,61.73,172.20,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,large_binary_1024.bin,1073741824,1024.00,65536,3.03,82.02,91.58,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,large_random_1024.bin,1073741824,1024.00,65536,1.00,57.95,280.94,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,large_zeros_1024.bin,1073741824,1024.00,65536,92.04,177.53,40.36,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,medium_TTI_100.bin,104857600,100.00,65536,1.04,56.33,191.42,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,medium_binary_100.bin,104857600,100.00,65536,3.04,70.92,168.18,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,medium_random_100.bin,104857600,100.00,65536,1.00,53.75,329.18,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,medium_zeros_100.bin,104857600,100.00,65536,92.04,150.51,51.16,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,small_TTI_10.bin,10485760,10.00,65536,1.61,29.58,24.71,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,small_binary_10.bin,10485760,10.00,65536,3.04,28.86,62.76,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,small_random_10.bin,10485760,10.00,65536,1.00,26.10,212.93,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,small_zeros_10.bin,10485760,10.00,65536,92.04,78.71,24.66,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.03,59.25,214.73,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.04,79.27,128.31,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,56.49,276.29,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
cascaded,xlarge_zeros_4096.bin,4294967296,4096.00,65536,92.04,174.94,55.06,amd,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,3,20260308_231534
